date,realtime_end,realtime_start,FF
1999-02-01 00:00:00,2018-06-30,1999-02-28,4.76
1999-03-01 00:00:00,2018-06-30,1999-03-31,4.81
1999-04-01 00:00:00,2018-06-30,1999-04-30,4.74
1999-05-01 00:00:00,2018-06-30,1999-05-31,4.74
1999-06-01 00:00:00,2018-06-30,1999-06-30,4.76
1999-07-01 00:00:00,2018-06-30,1999-07-31,4.99
1999-08-01 00:00:00,2018-06-30,1999-08-31,5.07
1999-09-01 00:00:00,2018-06-30,1999-09-30,5.22
1999-10-01 00:00:00,2018-06-30,1999-10-31,5.2
1999-11-01 00:00:00,2018-06-30,1999-11-30,5.42
1999-12-01 00:00:00,2018-06-30,1999-12-31,5.3
2000-01-01 00:00:00,2018-06-30,2000-01-31,5.45
2000-02-01 00:00:00,2018-06-30,2000-02-29,5.73
2000-03-01 00:00:00,2018-06-30,2000-03-31,5.85
2000-04-01 00:00:00,2018-06-30,2000-04-30,6.02
2000-05-01 00:00:00,2018-06-30,2000-05-31,6.27
2000-06-01 00:00:00,2018-06-30,2000-06-30,6.53
2000-07-01 00:00:00,2018-06-30,2000-07-31,6.54
2000-08-01 00:00:00,2018-06-30,2000-08-31,6.5
2000-09-01 00:00:00,2018-06-30,2000-09-30,6.52
2000-10-01 00:00:00,2018-06-30,2000-10-31,6.51
2000-11-01 00:00:00,2018-06-30,2000-11-30,6.51
2000-12-01 00:00:00,2018-06-30,2000-12-31,6.4
2001-01-01 00:00:00,2018-06-30,2001-01-31,5.98
2001-02-01 00:00:00,2018-06-30,2001-02-28,5.49
2001-03-01 00:00:00,2018-06-30,2001-03-31,5.31
2001-04-01 00:00:00,2018-06-30,2001-04-30,4.8
2001-05-01 00:00:00,2018-06-30,2001-05-31,4.21
2001-06-01 00:00:00,2018-06-30,2001-06-30,3.97
2001-07-01 00:00:00,2018-06-30,2001-07-31,3.77
2001-08-01 00:00:00,2018-06-30,2001-08-31,3.65
2001-09-01 00:00:00,2018-06-30,2001-09-30,3.07
2001-10-01 00:00:00,2018-06-30,2001-10-31,2.49
2001-11-01 00:00:00,2018-06-30,2001-11-30,2.09
2001-12-01 00:00:00,2018-06-30,2001-12-31,1.82
2002-01-01 00:00:00,2018-06-30,2002-01-31,1.73
2002-02-01 00:00:00,2018-06-30,2002-02-28,1.74
2002-03-01 00:00:00,2018-06-30,2002-03-31,1.73
2002-04-01 00:00:00,2018-06-30,2002-04-30,1.75
2002-05-01 00:00:00,2018-06-30,2002-05-31,1.75
2002-06-01 00:00:00,2018-06-30,2002-06-30,1.75
2002-07-01 00:00:00,2018-06-30,2002-07-31,1.73
2002-08-01 00:00:00,2018-06-30,2002-08-31,1.74
2002-09-01 00:00:00,2018-06-30,2002-09-30,1.75
2002-10-01 00:00:00,2018-06-30,2002-10-31,1.75
2002-11-01 00:00:00,2018-06-30,2002-11-30,1.34
2002-12-01 00:00:00,2018-06-30,2002-12-31,1.24
2003-01-01 00:00:00,2018-06-30,2003-01-31,1.24
2003-02-01 00:00:00,2018-06-30,2003-02-28,1.26
2003-03-01 00:00:00,2018-06-30,2003-03-31,1.25
2003-04-01 00:00:00,2018-06-30,2003-04-30,1.26
2003-05-01 00:00:00,2018-06-30,2003-05-31,1.26
2003-06-01 00:00:00,2018-06-30,2003-06-30,1.22
2003-07-01 00:00:00,2018-06-30,2003-07-31,1.01
2003-08-01 00:00:00,2018-06-30,2003-08-31,1.03
2003-09-01 00:00:00,2018-06-30,2003-09-30,1.01
2003-10-01 00:00:00,2018-06-30,2003-10-31,1.01
2003-11-01 00:00:00,2018-06-30,2003-11-30,1.0
2003-12-01 00:00:00,2018-06-30,2003-12-31,0.98
2004-01-01 00:00:00,2018-06-30,2004-01-31,1.0
2004-02-01 00:00:00,2018-06-30,2004-02-29,1.01
2004-03-01 00:00:00,2018-06-30,2004-03-31,1.0
2004-04-01 00:00:00,2018-06-30,2004-04-30,1.0
2004-05-01 00:00:00,2018-06-30,2004-05-31,1.0
2004-06-01 00:00:00,2018-06-30,2004-06-30,1.03
2004-07-01 00:00:00,2018-06-30,2004-07-31,1.26
2004-08-01 00:00:00,2018-06-30,2004-08-31,1.43
2004-09-01 00:00:00,2018-06-30,2004-09-30,1.61
2004-10-01 00:00:00,2018-06-30,2004-10-31,1.76
2004-11-01 00:00:00,2018-06-30,2004-11-30,1.93
2004-12-01 00:00:00,2018-06-30,2004-12-31,2.16
2005-01-01 00:00:00,2018-06-30,2005-01-31,2.28
2005-02-01 00:00:00,2018-06-30,2005-02-28,2.5
2005-03-01 00:00:00,2018-06-30,2005-03-31,2.63
2005-04-01 00:00:00,2018-06-30,2005-04-30,2.79
2005-05-01 00:00:00,2018-06-30,2005-05-31,3.0
2005-06-01 00:00:00,2018-06-30,2005-06-30,3.04
2005-07-01 00:00:00,2018-06-30,2005-07-31,3.26
2005-08-01 00:00:00,2018-06-30,2005-08-31,3.5
2005-09-01 00:00:00,2018-06-30,2005-09-30,3.62
2005-10-01 00:00:00,2018-06-30,2005-10-31,3.78
2005-11-01 00:00:00,2018-06-30,2005-11-30,4.0
2005-12-01 00:00:00,2018-06-30,2005-12-31,4.16
2006-01-01 00:00:00,2018-06-30,2006-01-31,4.29
2006-02-01 00:00:00,2018-06-30,2006-02-28,4.49
2006-03-01 00:00:00,2018-06-30,2006-03-31,4.59
2006-04-01 00:00:00,2018-06-30,2006-04-30,4.79
2006-05-01 00:00:00,2018-06-30,2006-05-31,4.94
2006-06-01 00:00:00,2018-06-30,2006-06-30,4.99
2006-07-01 00:00:00,2018-06-30,2006-07-31,5.24
2006-08-01 00:00:00,2018-06-30,2006-08-31,5.25
2006-09-01 00:00:00,2018-06-30,2006-09-30,5.25
2006-10-01 00:00:00,2018-06-30,2006-10-31,5.25
2006-11-01 00:00:00,2018-06-30,2006-11-30,5.25
2006-12-01 00:00:00,2018-06-30,2006-12-31,5.24
2007-01-01 00:00:00,2018-06-30,2007-01-31,5.25
2007-02-01 00:00:00,2018-06-30,2007-02-28,5.26
2007-03-01 00:00:00,2018-06-30,2007-03-31,5.26
2007-04-01 00:00:00,2018-06-30,2007-04-30,5.25
2007-05-01 00:00:00,2018-06-30,2007-05-31,5.25
2007-06-01 00:00:00,2018-06-30,2007-06-30,5.25
2007-07-01 00:00:00,2018-06-30,2007-07-31,5.26
2007-08-01 00:00:00,2018-06-30,2007-08-31,5.02
2007-09-01 00:00:00,2018-06-30,2007-09-30,4.94
2007-10-01 00:00:00,2018-06-30,2007-10-31,4.76
2007-11-01 00:00:00,2018-06-30,2007-11-30,4.49
2007-12-01 00:00:00,2018-06-30,2007-12-31,4.24
2008-01-01 00:00:00,2018-06-30,2008-01-31,3.94
2008-02-01 00:00:00,2018-06-30,2008-02-29,2.98
2008-03-01 00:00:00,2018-06-30,2008-03-31,2.61
2008-04-01 00:00:00,2018-06-30,2008-04-30,2.28
2008-05-01 00:00:00,2018-06-30,2008-05-31,1.98
2008-06-01 00:00:00,2018-06-30,2008-06-30,2.0
2008-07-01 00:00:00,2018-06-30,2008-07-31,2.01
2008-08-01 00:00:00,2018-06-30,2008-08-31,2.0
2008-09-01 00:00:00,2018-06-30,2008-09-30,1.81
2008-10-01 00:00:00,2018-06-30,2008-10-31,0.97
2008-11-01 00:00:00,2018-06-30,2008-11-30,0.39
2008-12-01 00:00:00,2018-06-30,2008-12-31,0.16
2009-01-01 00:00:00,2018-06-30,2009-01-31,0.15
2009-02-01 00:00:00,2018-06-30,2009-02-28,0.22
2009-03-01 00:00:00,2018-06-30,2009-03-31,0.18
2009-04-01 00:00:00,2018-06-30,2009-04-30,0.15
2009-05-01 00:00:00,2018-06-30,2009-05-31,0.18
2009-06-01 00:00:00,2018-06-30,2009-06-30,0.21
2009-07-01 00:00:00,2018-06-30,2009-07-31,0.16
2009-08-01 00:00:00,2018-06-30,2009-08-31,0.16
2009-09-01 00:00:00,2018-06-30,2009-09-30,0.15
2009-10-01 00:00:00,2018-06-30,2009-10-31,0.12
2009-11-01 00:00:00,2018-06-30,2009-11-30,0.12
2009-12-01 00:00:00,2018-06-30,2009-12-31,0.12
2010-01-01 00:00:00,2018-06-30,2010-01-31,0.11
2010-02-01 00:00:00,2018-06-30,2010-02-28,0.13
2010-03-01 00:00:00,2018-06-30,2010-03-31,0.16
2010-04-01 00:00:00,2018-06-30,2010-04-30,0.2
2010-05-01 00:00:00,2018-06-30,2010-05-31,0.2
2010-06-01 00:00:00,2018-06-30,2010-06-30,0.18
2010-07-01 00:00:00,2018-06-30,2010-07-31,0.18
2010-08-01 00:00:00,2018-06-30,2010-08-31,0.19
2010-09-01 00:00:00,2018-06-30,2010-09-30,0.19
2010-10-01 00:00:00,2018-06-30,2010-10-31,0.19
2010-11-01 00:00:00,2018-06-30,2010-11-30,0.19
2010-12-01 00:00:00,2018-06-30,2010-12-31,0.18
2011-01-01 00:00:00,2018-06-30,2011-01-31,0.17
2011-02-01 00:00:00,2018-06-30,2011-02-28,0.16
2011-03-01 00:00:00,2018-06-30,2011-03-31,0.14
2011-04-01 00:00:00,2018-06-30,2011-04-30,0.1
2011-05-01 00:00:00,2018-06-30,2011-05-31,0.09
2011-06-01 00:00:00,2018-06-30,2011-06-30,0.09
2011-07-01 00:00:00,2018-06-30,2011-07-31,0.07
2011-08-01 00:00:00,2018-06-30,2011-08-31,0.1
2011-09-01 00:00:00,2018-06-30,2011-09-30,0.08
2011-10-01 00:00:00,2018-06-30,2011-10-31,0.07
2011-11-01 00:00:00,2018-06-30,2011-11-30,0.08
2011-12-01 00:00:00,2018-06-30,2011-12-31,0.07
2012-01-01 00:00:00,2018-06-30,2012-01-31,0.08
2012-02-01 00:00:00,2018-06-30,2012-02-29,0.1
2012-03-01 00:00:00,2018-06-30,2012-03-31,0.13
2012-04-01 00:00:00,2018-06-30,2012-04-30,0.14
2012-05-01 00:00:00,2018-06-30,2012-05-31,0.16
2012-06-01 00:00:00,2018-06-30,2012-06-30,0.16
2012-07-01 00:00:00,2018-06-30,2012-07-31,0.16
2012-08-01 00:00:00,2018-06-30,2012-08-31,0.13
2012-09-01 00:00:00,2018-06-30,2012-09-30,0.14
2012-10-01 00:00:00,2018-06-30,2012-10-31,0.16
2012-11-01 00:00:00,2018-06-30,2012-11-30,0.16
2012-12-01 00:00:00,2018-06-30,2012-12-31,0.16
2013-01-01 00:00:00,2018-06-30,2013-01-31,0.14
2013-02-01 00:00:00,2018-06-30,2013-02-28,0.15
2013-03-01 00:00:00,2018-06-30,2013-03-31,0.14
2013-04-01 00:00:00,2018-06-30,2013-04-30,0.15
2013-05-01 00:00:00,2018-06-30,2013-05-31,0.11
2013-06-01 00:00:00,2018-06-30,2013-06-30,0.09
2013-07-01 00:00:00,2018-06-30,2013-07-31,0.09
2013-08-01 00:00:00,2018-06-30,2013-08-31,0.08
2013-09-01 00:00:00,2018-06-30,2013-09-30,0.08
2013-10-01 00:00:00,2018-06-30,2013-10-31,0.09
2013-11-01 00:00:00,2018-06-30,2013-11-30,0.08
2013-12-01 00:00:00,2018-06-30,2013-12-31,0.09
2014-01-01 00:00:00,2018-06-30,2014-01-31,0.07
2014-02-01 00:00:00,2018-06-30,2014-02-28,0.07
2014-03-01 00:00:00,2018-06-30,2014-03-31,0.08
2014-04-01 00:00:00,2018-06-30,2014-04-30,0.09
2014-05-01 00:00:00,2018-06-30,2014-05-31,0.09
2014-06-01 00:00:00,2018-06-30,2014-06-30,0.1
2014-07-01 00:00:00,2018-06-30,2014-07-31,0.09
2014-08-01 00:00:00,2018-06-30,2014-08-31,0.09
2014-09-01 00:00:00,2018-06-30,2014-09-30,0.09
2014-10-01 00:00:00,2018-06-30,2014-10-31,0.09
2014-11-01 00:00:00,2018-06-30,2014-11-30,0.09
2014-12-01 00:00:00,2018-06-30,2014-12-31,0.12
2015-01-01 00:00:00,2018-06-30,2015-01-31,0.11
2015-02-01 00:00:00,2018-06-30,2015-02-28,0.11
2015-03-01 00:00:00,2018-06-30,2015-03-31,0.11
2015-04-01 00:00:00,2018-06-30,2015-04-30,0.12
2015-05-01 00:00:00,2018-06-30,2015-05-31,0.12
2015-06-01 00:00:00,2018-06-30,2015-06-30,0.13
2015-07-01 00:00:00,2018-06-30,2015-07-31,0.13
2015-08-01 00:00:00,2018-06-30,2015-08-31,0.14
2015-09-01 00:00:00,2018-06-30,2015-09-30,0.14
2015-10-01 00:00:00,2018-06-30,2015-10-31,0.12
2015-11-01 00:00:00,2018-06-30,2015-11-30,0.12
2015-12-01 00:00:00,2018-06-30,2015-12-31,0.24
2016-01-01 00:00:00,2018-06-30,2016-01-31,0.34
2016-02-01 00:00:00,2018-06-30,2016-02-29,0.38
2016-03-01 00:00:00,2018-06-30,2016-03-31,0.36
2016-04-01 00:00:00,2018-06-30,2016-04-30,0.37
2016-05-01 00:00:00,2018-06-30,2016-05-31,0.37
2016-06-01 00:00:00,2018-06-30,2016-06-30,0.38
2016-07-01 00:00:00,2018-06-30,2016-07-31,0.39
2016-08-01 00:00:00,2018-06-30,2016-08-31,0.4
2016-09-01 00:00:00,2018-06-30,2016-09-30,0.4
2016-10-01 00:00:00,2018-06-30,2016-10-31,0.4
2016-11-01 00:00:00,2018-06-30,2016-11-30,0.41
2016-12-01 00:00:00,2018-06-30,2016-12-31,0.54
2017-01-01 00:00:00,2018-06-30,2017-01-31,0.65
2017-02-01 00:00:00,2018-06-30,2017-02-28,0.66
2017-03-01 00:00:00,2018-06-30,2017-03-31,0.79
2017-04-01 00:00:00,2018-06-30,2017-04-30,0.9
2017-05-01 00:00:00,2018-06-30,2017-05-31,0.91
2017-06-01 00:00:00,2018-06-30,2017-06-30,1.04
2017-07-01 00:00:00,2018-06-30,2017-07-31,1.15
2017-08-01 00:00:00,2018-06-30,2017-08-31,1.16
2017-09-01 00:00:00,2018-06-30,2017-09-30,1.15
2017-10-01 00:00:00,2018-06-30,2017-10-31,1.15
2017-11-01 00:00:00,2018-06-30,2017-11-30,1.16
2017-12-01 00:00:00,2018-06-30,2017-12-31,1.3
2018-01-01 00:00:00,2018-06-30,2018-01-31,1.41
2018-02-01 00:00:00,2018-06-30,2018-02-28,1.42
2018-03-01 00:00:00,2018-06-30,2018-03-31,1.51
2018-04-01 00:00:00,2018-06-30,2018-04-30,1.69
2018-05-01 00:00:00,2018-06-30,2018-05-31,1.7
