date,realtime_end,realtime_start,RGDP
1980-03-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3830.8
1980-03-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4674.3
1980-03-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4679.0
1980-03-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1980-03-01,2000-04-02 00:00:00,1999-10-29 00:00:00,4926.8
1980-03-01,2003-12-09 00:00:00,2000-04-03 00:00:00,4958.9
1980-03-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5221.3
1980-03-01,2011-07-28 00:00:00,2009-07-31 00:00:00,5908.5
1980-03-01,2013-07-30 00:00:00,2011-07-29 00:00:00,5903.4
1980-03-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6517.9
1980-03-01,2017-10-26 00:00:00,2014-07-30 00:00:00,6524.9
1980-03-01,2018-06-30 00:00:00,2017-10-27 00:00:00,6524.912
1980-06-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3732.6
1980-06-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4562.6
1980-06-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4566.6
1980-06-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1980-06-01,2000-04-02 00:00:00,1999-10-29 00:00:00,4829.0
1980-06-01,2003-12-09 00:00:00,2000-04-03 00:00:00,4857.8
1980-06-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5115.9
1980-06-01,2011-07-28 00:00:00,2009-07-31 00:00:00,5787.4
1980-06-01,2013-07-30 00:00:00,2011-07-29 00:00:00,5782.4
1980-06-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6385.7
1980-06-01,2017-10-26 00:00:00,2014-07-30 00:00:00,6392.6
1980-06-01,2018-06-30 00:00:00,2017-10-27 00:00:00,6392.578
1980-09-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3733.5
1980-09-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4559.6
1980-09-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4562.3
1980-09-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1980-09-01,2000-04-02 00:00:00,1999-10-29 00:00:00,4823.3
1980-09-01,2003-12-09 00:00:00,2000-04-03 00:00:00,4850.3
1980-09-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5107.4
1980-09-01,2011-07-28 00:00:00,2009-07-31 00:00:00,5776.6
1980-09-01,2013-07-30 00:00:00,2011-07-29 00:00:00,5771.7
1980-09-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6376.0
1980-09-01,2017-10-26 00:00:00,2014-07-30 00:00:00,6382.9
1980-09-01,2018-06-30 00:00:00,2017-10-27 00:00:00,6382.892
1980-12-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3808.5
1980-12-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4651.1
1980-12-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4651.9
1980-12-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1980-12-01,2000-04-02 00:00:00,1999-10-29 00:00:00,4910.1
1980-12-01,2003-12-09 00:00:00,2000-04-03 00:00:00,4936.6
1980-12-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5202.1
1980-12-01,2011-07-28 00:00:00,2009-07-31 00:00:00,5883.5
1980-12-01,2013-07-30 00:00:00,2011-07-29 00:00:00,5878.4
1980-12-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6494.1
1980-12-01,2017-10-26 00:00:00,2014-07-30 00:00:00,6501.2
1980-12-01,2018-06-30 00:00:00,2017-10-27 00:00:00,6501.184
1981-03-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3860.5
1981-03-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4741.3
1981-03-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4739.2
1981-03-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1981-03-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5003.6
1981-03-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5032.5
1981-03-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5307.5
1981-03-01,2011-07-28 00:00:00,2009-07-31 00:00:00,6005.7
1981-03-01,2013-07-30 00:00:00,2011-07-29 00:00:00,6000.6
1981-03-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6628.6
1981-03-01,2017-10-26 00:00:00,2014-07-30 00:00:00,6635.7
1981-03-01,2018-06-30 00:00:00,2017-10-27 00:00:00,6635.726
1981-06-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3844.4
1981-06-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4701.3
1981-06-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4696.8
1981-06-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1981-06-01,2000-04-02 00:00:00,1999-10-29 00:00:00,4969.3
1981-06-01,2003-12-09 00:00:00,2000-04-03 00:00:00,4997.3
1981-06-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5266.1
1981-06-01,2011-07-28 00:00:00,2009-07-31 00:00:00,5957.8
1981-06-01,2013-07-30 00:00:00,2011-07-29 00:00:00,5952.7
1981-06-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6580.2
1981-06-01,2017-10-26 00:00:00,2014-07-30 00:00:00,6587.3
1981-06-01,2018-06-30 00:00:00,2017-10-27 00:00:00,6587.269
1981-09-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3864.5
1981-09-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4758.4
1981-09-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4753.0
1981-09-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1981-09-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5030.0
1981-09-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5056.8
1981-09-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5329.8
1981-09-01,2011-07-28 00:00:00,2009-07-31 00:00:00,6030.2
1981-09-01,2013-07-30 00:00:00,2011-07-29 00:00:00,6025.0
1981-09-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6655.7
1981-09-01,2017-10-26 00:00:00,2014-07-30 00:00:00,6662.9
1981-09-01,2018-06-30 00:00:00,2017-10-27 00:00:00,6662.858
1981-12-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3803.1
1981-12-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4698.6
1981-12-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4693.8
1981-12-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1981-12-01,2000-04-02 00:00:00,1999-10-29 00:00:00,4972.5
1981-12-01,2003-12-09 00:00:00,2000-04-03 00:00:00,4997.1
1981-12-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5263.4
1981-12-01,2011-07-28 00:00:00,2009-07-31 00:00:00,5955.1
1981-12-01,2013-07-30 00:00:00,2011-07-29 00:00:00,5950.0
1981-12-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6578.0
1981-12-01,2017-10-26 00:00:00,2014-07-30 00:00:00,6585.1
1981-12-01,2018-06-30 00:00:00,2017-10-27 00:00:00,6585.127
1982-03-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3756.1
1982-03-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4618.9
1982-03-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4615.9
1982-03-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1982-03-01,2000-04-02 00:00:00,1999-10-29 00:00:00,4894.6
1982-03-01,2003-12-09 00:00:00,2000-04-03 00:00:00,4914.3
1982-03-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5177.1
1982-03-01,2011-07-28 00:00:00,2009-07-31 00:00:00,5857.3
1982-03-01,2013-07-30 00:00:00,2011-07-29 00:00:00,5852.3
1982-03-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6468.0
1982-03-01,2017-10-26 00:00:00,2014-07-30 00:00:00,6475.0
1982-03-01,2018-06-30 00:00:00,2017-10-27 00:00:00,6474.973
1982-06-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3771.1
1982-06-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4637.4
1982-06-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4634.9
1982-06-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1982-06-01,2000-04-02 00:00:00,1999-10-29 00:00:00,4916.9
1982-06-01,2003-12-09 00:00:00,2000-04-03 00:00:00,4935.5
1982-06-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5204.9
1982-06-01,2011-07-28 00:00:00,2009-07-31 00:00:00,5889.1
1982-06-01,2013-07-30 00:00:00,2011-07-29 00:00:00,5884.0
1982-06-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6503.3
1982-06-01,2017-10-26 00:00:00,2014-07-30 00:00:00,6510.2
1982-06-01,2018-06-30 00:00:00,2017-10-27 00:00:00,6510.247
1982-09-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3754.4
1982-09-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4615.3
1982-09-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4612.1
1982-09-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1982-09-01,2000-04-02 00:00:00,1999-10-29 00:00:00,4893.5
1982-09-01,2003-12-09 00:00:00,2000-04-03 00:00:00,4912.1
1982-09-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5185.2
1982-09-01,2011-07-28 00:00:00,2009-07-31 00:00:00,5866.4
1982-09-01,2013-07-30 00:00:00,2011-07-29 00:00:00,5861.4
1982-09-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6479.8
1982-09-01,2018-06-30 00:00:00,2014-07-30 00:00:00,6486.8
1982-12-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3759.6
1982-12-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4622.8
1982-12-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4618.3
1982-12-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1982-12-01,2000-04-02 00:00:00,1999-10-29 00:00:00,4896.1
1982-12-01,2003-12-09 00:00:00,2000-04-03 00:00:00,4915.6
1982-12-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5189.8
1982-12-01,2011-07-28 00:00:00,2009-07-31 00:00:00,5871.0
1982-12-01,2013-07-30 00:00:00,2011-07-29 00:00:00,5866.0
1982-12-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6486.2
1982-12-01,2017-10-26 00:00:00,2014-07-30 00:00:00,6493.1
1982-12-01,2018-06-30 00:00:00,2017-10-27 00:00:00,6493.128
1983-03-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3783.5
1983-03-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4669.8
1983-03-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4663.0
1983-03-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1983-03-01,2000-04-02 00:00:00,1999-10-29 00:00:00,4948.5
1983-03-01,2003-12-09 00:00:00,2000-04-03 00:00:00,4972.4
1983-03-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5253.8
1983-03-01,2011-07-28 00:00:00,2009-07-31 00:00:00,5944.0
1983-03-01,2013-07-30 00:00:00,2011-07-29 00:00:00,5938.9
1983-03-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6571.1
1983-03-01,2017-10-26 00:00:00,2014-07-30 00:00:00,6578.2
1983-03-01,2018-06-30 00:00:00,2017-10-27 00:00:00,6578.175
1983-06-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3886.5
1983-06-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4771.3
1983-06-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4763.6
1983-06-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1983-06-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5063.6
1983-06-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5089.8
1983-06-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5372.3
1983-06-01,2011-07-28 00:00:00,2009-07-31 00:00:00,6077.6
1983-06-01,2013-07-30 00:00:00,2011-07-29 00:00:00,6072.4
1983-06-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6721.1
1983-06-01,2017-10-26 00:00:00,2014-07-30 00:00:00,6728.3
1983-06-01,2018-06-30 00:00:00,2017-10-27 00:00:00,6728.287
1983-09-01,1996-01-18 00:00:00,1995-01-01 00:00:00,3944.4
1983-09-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4855.5
1983-09-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4849.0
1983-09-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1983-09-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5152.6
1983-09-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5180.4
1983-09-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5478.4
1983-09-01,2011-07-28 00:00:00,2009-07-31 00:00:00,6197.5
1983-09-01,2013-07-30 00:00:00,2011-07-29 00:00:00,6192.2
1983-09-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6852.7
1983-09-01,2017-10-26 00:00:00,2014-07-30 00:00:00,6860.0
1983-09-01,2018-06-30 00:00:00,2017-10-27 00:00:00,6860.022
1983-12-01,1996-01-18 00:00:00,1995-01-01 00:00:00,4012.1
1983-12-01,1997-05-06 00:00:00,1996-01-19 00:00:00,4943.6
1983-12-01,1999-10-27 00:00:00,1997-05-07 00:00:00,4939.2
1983-12-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1983-12-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5257.6
1983-12-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5286.8
1983-12-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5590.5
1983-12-01,2011-07-28 00:00:00,2009-07-31 00:00:00,6325.6
1983-12-01,2013-07-30 00:00:00,2011-07-29 00:00:00,6320.2
1983-12-01,2014-07-29 00:00:00,2013-07-31 00:00:00,6994.0
1983-12-01,2017-10-26 00:00:00,2014-07-30 00:00:00,7001.5
1983-12-01,2018-06-30 00:00:00,2017-10-27 00:00:00,7001.489
1984-03-01,1996-01-18 00:00:00,1995-01-01 00:00:00,4089.5
1984-03-01,1997-05-06 00:00:00,1996-01-19 00:00:00,5053.4
1984-03-01,1999-10-27 00:00:00,1997-05-07 00:00:00,5053.6
1984-03-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1984-03-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5374.1
1984-03-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5402.3
1984-03-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5699.8
1984-03-01,2011-07-28 00:00:00,2009-07-31 00:00:00,6448.3
1984-03-01,2013-07-30 00:00:00,2011-07-29 00:00:00,6442.8
1984-03-01,2014-07-29 00:00:00,2013-07-31 00:00:00,7132.9
1984-03-01,2017-10-26 00:00:00,2014-07-30 00:00:00,7140.6
1984-03-01,2018-06-30 00:00:00,2017-10-27 00:00:00,7140.597
1984-06-01,1996-01-18 00:00:00,1995-01-01 00:00:00,4144.0
1984-06-01,1997-05-06 00:00:00,1996-01-19 00:00:00,5129.8
1984-06-01,1999-10-27 00:00:00,1997-05-07 00:00:00,5132.9
1984-06-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1984-06-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5465.9
1984-06-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5493.8
1984-06-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5797.9
1984-06-01,2011-07-28 00:00:00,2009-07-31 00:00:00,6559.6
1984-06-01,2013-07-30 00:00:00,2011-07-29 00:00:00,6554.0
1984-06-01,2014-07-29 00:00:00,2013-07-31 00:00:00,7258.2
1984-06-01,2017-10-26 00:00:00,2014-07-30 00:00:00,7266.0
1984-06-01,2018-06-30 00:00:00,2017-10-27 00:00:00,7266.01
1984-09-01,1996-01-18 00:00:00,1995-01-01 00:00:00,4166.4
1984-09-01,1997-05-06 00:00:00,1996-01-19 00:00:00,5167.0
1984-09-01,1999-10-27 00:00:00,1997-05-07 00:00:00,5170.3
1984-09-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1984-09-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5513.6
1984-09-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5541.3
1984-09-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5854.3
1984-09-01,2011-07-28 00:00:00,2009-07-31 00:00:00,6623.3
1984-09-01,2013-07-30 00:00:00,2011-07-29 00:00:00,6617.7
1984-09-01,2014-07-29 00:00:00,2013-07-31 00:00:00,7329.6
1984-09-01,2017-10-26 00:00:00,2014-07-30 00:00:00,7337.5
1984-09-01,2018-06-30 00:00:00,2017-10-27 00:00:00,7337.493
1984-12-01,1996-01-18 00:00:00,1995-01-01 00:00:00,4194.2
1984-12-01,1997-05-06 00:00:00,1996-01-19 00:00:00,5202.7
1984-12-01,1999-10-27 00:00:00,1997-05-07 00:00:00,5203.7
1984-12-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1984-12-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5555.9
1984-12-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5583.1
1984-12-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5902.4
1984-12-01,2011-07-28 00:00:00,2009-07-31 00:00:00,6677.3
1984-12-01,2013-07-30 00:00:00,2011-07-29 00:00:00,6671.6
1984-12-01,2014-07-29 00:00:00,2013-07-31 00:00:00,7388.1
1984-12-01,2017-10-26 00:00:00,2014-07-30 00:00:00,7396.0
1984-12-01,2018-06-30 00:00:00,2017-10-27 00:00:00,7396.019
1985-03-01,1996-01-18 00:00:00,1995-01-01 00:00:00,4221.8
1985-03-01,1997-05-06 00:00:00,1996-01-19 00:00:00,5261.3
1985-03-01,1999-10-27 00:00:00,1997-05-07 00:00:00,5257.3
1985-03-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1985-03-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5602.4
1985-03-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5629.7
1985-03-01,2009-07-30 00:00:00,2003-12-10 00:00:00,5956.9
1985-03-01,2011-07-28 00:00:00,2009-07-31 00:00:00,6740.3
1985-03-01,2013-07-30 00:00:00,2011-07-29 00:00:00,6734.5
1985-03-01,2014-07-29 00:00:00,2013-07-31 00:00:00,7461.5
1985-03-01,2017-10-26 00:00:00,2014-07-30 00:00:00,7469.5
1985-03-01,2018-06-30 00:00:00,2017-10-27 00:00:00,7469.545
1985-06-01,1996-01-18 00:00:00,1995-01-01 00:00:00,4254.8
1985-06-01,1997-05-06 00:00:00,1996-01-19 00:00:00,5290.8
1985-06-01,1999-10-27 00:00:00,1997-05-07 00:00:00,5283.7
1985-06-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1985-06-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5646.6
1985-06-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5673.8
1985-06-01,2009-07-30 00:00:00,2003-12-10 00:00:00,6007.8
1985-06-01,2011-07-28 00:00:00,2009-07-31 00:00:00,6797.3
1985-06-01,2013-07-30 00:00:00,2011-07-29 00:00:00,6791.5
1985-06-01,2014-07-29 00:00:00,2013-07-31 00:00:00,7529.9
1985-06-01,2017-10-26 00:00:00,2014-07-30 00:00:00,7537.9
1985-06-01,2018-06-30 00:00:00,2017-10-27 00:00:00,7537.928
1985-09-01,1996-01-18 00:00:00,1995-01-01 00:00:00,4309.0
1985-09-01,1997-05-06 00:00:00,1996-01-19 00:00:00,5367.0
1985-09-01,1999-10-27 00:00:00,1997-05-07 00:00:00,5359.6
1985-09-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1985-09-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5731.4
1985-09-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5758.6
1985-09-01,2009-07-30 00:00:00,2003-12-10 00:00:00,6101.7
1985-09-01,2011-07-28 00:00:00,2009-07-31 00:00:00,6903.5
1985-09-01,2013-07-30 00:00:00,2011-07-29 00:00:00,6897.6
1985-09-01,2014-07-29 00:00:00,2013-07-31 00:00:00,7647.0
1985-09-01,2017-10-26 00:00:00,2014-07-30 00:00:00,7655.2
1985-09-01,2018-06-30 00:00:00,2017-10-27 00:00:00,7655.196
1985-12-01,1996-01-18 00:00:00,1995-01-01 00:00:00,4333.5
1985-12-01,1997-05-06 00:00:00,1996-01-19 00:00:00,5398.9
1985-12-01,1999-10-27 00:00:00,1997-05-07 00:00:00,5393.6
1985-12-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1985-12-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5778.8
1985-12-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5806.0
1985-12-01,2009-07-30 00:00:00,2003-12-10 00:00:00,6148.6
1985-12-01,2011-07-28 00:00:00,2009-07-31 00:00:00,6955.9
1985-12-01,2013-07-30 00:00:00,2011-07-29 00:00:00,6950.0
1985-12-01,2014-07-29 00:00:00,2013-07-31 00:00:00,7704.4
1985-12-01,2017-10-26 00:00:00,2014-07-30 00:00:00,7712.6
1985-12-01,2018-06-30 00:00:00,2017-10-27 00:00:00,7712.624
1986-03-01,1996-01-18 00:00:00,1995-01-01 00:00:00,4390.5
1986-03-01,1997-05-06 00:00:00,1996-01-19 00:00:00,5465.4
1986-03-01,1999-10-27 00:00:00,1997-05-07 00:00:00,5460.8
1986-03-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1986-03-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5831.1
1986-03-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5858.9
1986-03-01,2009-07-30 00:00:00,2003-12-10 00:00:00,6207.4
1986-03-01,2011-07-28 00:00:00,2009-07-31 00:00:00,7022.8
1986-03-01,2013-07-30 00:00:00,2011-07-29 00:00:00,7016.8
1986-03-01,2014-07-29 00:00:00,2013-07-31 00:00:00,7775.8
1986-03-01,2017-10-26 00:00:00,2014-07-30 00:00:00,7784.1
1986-03-01,2018-06-30 00:00:00,2017-10-27 00:00:00,7784.109
1986-06-01,1996-01-18 00:00:00,1995-01-01 00:00:00,4387.7
1986-06-01,1997-05-06 00:00:00,1996-01-19 00:00:00,5469.6
1986-06-01,1999-10-27 00:00:00,1997-05-07 00:00:00,5466.9
1986-06-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1986-06-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5856.0
1986-06-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5883.3
1986-06-01,2009-07-30 00:00:00,2003-12-10 00:00:00,6232.0
1986-06-01,2011-07-28 00:00:00,2009-07-31 00:00:00,7051.0
1986-06-01,2013-07-30 00:00:00,2011-07-29 00:00:00,7045.0
1986-06-01,2014-07-29 00:00:00,2013-07-31 00:00:00,7811.5
1986-06-01,2017-10-26 00:00:00,2014-07-30 00:00:00,7819.8
1986-06-01,2018-06-30 00:00:00,2017-10-27 00:00:00,7819.843
1986-09-01,1996-01-18 00:00:00,1995-01-01 00:00:00,4412.6
1986-09-01,1997-05-06 00:00:00,1996-01-19 00:00:00,5497.6
1986-09-01,1999-10-27 00:00:00,1997-05-07 00:00:00,5496.3
1986-09-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1986-09-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5911.3
1986-09-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5937.9
1986-09-01,2009-07-30 00:00:00,2003-12-10 00:00:00,6291.7
1986-09-01,2011-07-28 00:00:00,2009-07-31 00:00:00,7119.0
1986-09-01,2013-07-30 00:00:00,2011-07-29 00:00:00,7112.9
1986-09-01,2014-07-29 00:00:00,2013-07-31 00:00:00,7890.1
1986-09-01,2017-10-26 00:00:00,2014-07-30 00:00:00,7898.6
1986-09-01,2018-06-30 00:00:00,2017-10-27 00:00:00,7898.555
1986-12-01,1996-01-18 00:00:00,1995-01-01 00:00:00,4427.1
1986-12-01,1997-05-06 00:00:00,1996-01-19 00:00:00,5527.0
1986-12-01,1999-10-27 00:00:00,1997-05-07 00:00:00,5526.8
1986-12-01,1999-10-28 00:00:00,1999-10-28 00:00:00,
1986-12-01,2000-04-02 00:00:00,1999-10-29 00:00:00,5944.3
1986-12-01,2003-12-09 00:00:00,2000-04-03 00:00:00,5969.5
1986-12-01,2009-07-30 00:00:00,2003-12-10 00:00:00,6323.4
1986-12-01,2011-07-28 00:00:00,2009-07-31 00:00:00,7153.4
1986-12-01,2013-07-30 00:00:00,2011-07-29 00:00:00,7147.3
1986-12-01,2014-07-29 00:00:00,2013-07-31 00:00:00,7931.0
